provider,player,position,team,bye,adp,high,low,stdev,sample_size,player_url
fantasypros,Cam Ward,QB,TEN,9,156.0,62.0,210.0,45.8,,https://www.fantasypros.com/nfl/players/cam-ward.php
fantasypros,Jakobi Meyers,WR,JAC,7,157.0,102.0,210.0,43.57,,https://www.fantasypros.com/nfl/players/jakobi-meyers.php
fantasypros,Minnesota Vikings,DST,MIN,6,158.0,135.0,210.0,21.03,,https://www.fantasypros.com/nfl/players/minnesota-defense.php
fantasypros,New England Patriots,DST,NE,11,158.0,137.0,210.0,18.93,,https://www.fantasypros.com/nfl/players/new-england-defense.php
fantasypros,Josh Downs,WR,IND,13,159.0,98.0,210.0,45.0,,https://www.fantasypros.com/nfl/players/josh-downs.php
fantasypros,Ka'imi Fairbairn,K,HOU,8,161.0,125.0,210.0,24.12,,https://www.fantasypros.com/nfl/players/kaimi-fairbairn.php
fantasypros,Cameron Dicker,K,LAC,7,162.0,137.0,210.0,22.89,,https://www.fantasypros.com/nfl/players/cameron-dicker.php
fantasypros,Jacksonville Jaguars,DST,JAC,7,162.0,93.0,210.0,27.6,,https://www.fantasypros.com/nfl/players/jacksonville-defense.php
fantasypros,Stefon Diggs,WR,WAS,7,163.0,88.0,210.0,41.65,,https://www.fantasypros.com/nfl/players/stefon-diggs.php
fantasypros,Emmett Johnson,RB,KC,5,164.0,123.0,210.0,36.36,,https://www.fantasypros.com/nfl/players/emmett-johnson.php
fantasypros,Jason Myers,K,SEA,11,165.0,138.0,210.0,21.59,,https://www.fantasypros.com/nfl/players/jason-myers.php
fantasypros,Travis Kelce,TE,KC,5,165.0,100.0,210.0,38.8,,https://www.fantasypros.com/nfl/players/travis-kelce.php
fantasypros,Cam Little,K,JAC,7,165.0,141.0,210.0,22.1,,https://www.fantasypros.com/nfl/players/cam-little.php
fantasypros,Isaiah Likely,TE,NYG,8,165.0,115.0,210.0,39.33,,https://www.fantasypros.com/nfl/players/isaiah-likely.php
fantasypros,Pittsburgh Steelers,DST,PIT,9,168.0,121.0,210.0,26.61,,https://www.fantasypros.com/nfl/players/pittsburgh-defense.php
fantasypros,Tyler Loop,K,BAL,13,168.0,144.0,210.0,21.54,,https://www.fantasypros.com/nfl/players/tyler-loop.php
fantasypros,Xavier Worthy,WR,KC,5,172.0,100.0,210.0,40.16,,https://www.fantasypros.com/nfl/players/xavier-worthy.php
fantasypros,Eddy Pineiro,K,SF,8,173.0,145.0,210.0,23.73,,https://www.fantasypros.com/nfl/players/eddy-pineiro.php
fantasypros,Sean Tucker,RB,TB,10,173.0,122.0,210.0,39.52,,https://www.fantasypros.com/nfl/players/sean-tucker.php
fantasypros,Ray Davis,RB,BUF,7,174.0,128.0,210.0,36.96,,https://www.fantasypros.com/nfl/players/ray-davis.php
fantasypros,Baltimore Ravens,DST,BAL,13,175.0,133.0,210.0,27.29,,https://www.fantasypros.com/nfl/players/baltimore-defense.php
fantasypros,Bryce Young,QB,CAR,5,176.0,77.0,210.0,40.11,,https://www.fantasypros.com/nfl/players/bryce-young.php
fantasypros,Mike Washington Jr.,RB,LV,13,177.0,130.0,210.0,35.72,,https://www.fantasypros.com/nfl/players/mike-washington-jr.php
fantasypros,Jacoby Brissett,QB,ARI,14,178.0,91.0,210.0,40.99,,https://www.fantasypros.com/nfl/players/jacoby-brissett.php
fantasypros,Romeo Doubs,WR,NE,11,180.0,115.0,210.0,39.65,,https://www.fantasypros.com/nfl/players/romeo-doubs.php
fantasypros,Kimani Vidal,RB,LAC,7,181.0,118.0,210.0,35.23,,https://www.fantasypros.com/nfl/players/kimani-vidal.php
fantasypros,Dallas Goedert,TE,PHI,10,184.0,118.0,210.0,34.88,,https://www.fantasypros.com/nfl/players/dallas-goedert.php
fantasypros,James Conner,RB,ARI,14,184.0,112.0,210.0,34.91,,https://www.fantasypros.com/nfl/players/james-conner.php
fantasypros,Mark Andrews,TE,BAL,13,184.0,115.0,210.0,36.62,,https://www.fantasypros.com/nfl/players/mark-andrews.php
fantasypros,Matthew Golden,WR,GB,11,185.0,99.0,210.0,33.96,,https://www.fantasypros.com/nfl/players/matthew-golden.php
fantasypros,Cairo Santos,K,CHI,10,185.0,147.0,210.0,26.32,,https://www.fantasypros.com/nfl/players/cairo-santos.php
fantasypros,Jake Bates,K,DET,6,186.0,145.0,210.0,26.06,,https://www.fantasypros.com/nfl/players/jake-bates.php
fantasypros,Deebo Samuel Sr.,WR,SF,8,186.0,115.0,210.0,35.19,,https://www.fantasypros.com/nfl/players/deebo-samuel.php
fantasypros,Khalil Shakir,WR,BUF,7,187.0,108.0,210.0,36.23,,https://www.fantasypros.com/nfl/players/khalil-shakir.php
fantasypros,Fernando Mendoza,QB,LV,13,188.0,87.0,210.0,35.74,,https://www.fantasypros.com/nfl/players/fernando-mendoza.php
fantasypros,Evan McPherson,K,CIN,6,190.0,146.0,210.0,25.0,,https://www.fantasypros.com/nfl/players/evan-mcpherson.php
fantasypros,Oronde Gadsden II,TE,LAC,7,190.0,118.0,210.0,32.4,,https://www.fantasypros.com/nfl/players/oronde-gadsden-ii.php
fantasypros,Emanuel Wilson,RB,SEA,11,190.0,113.0,210.0,31.94,,https://www.fantasypros.com/nfl/players/emanuel-wilson.php
fantasypros,KC Concepcion,WR,CLE,11,191.0,120.0,210.0,32.64,,https://www.fantasypros.com/nfl/players/kevin-concepcion.php
fantasypros,Nicholas Singleton,RB,TEN,9,191.0,120.0,210.0,32.05,,https://www.fantasypros.com/nfl/players/nick-singleton.php
fantasypros,Jake Ferguson,TE,DAL,14,192.0,121.0,210.0,31.37,,https://www.fantasypros.com/nfl/players/jake-ferguson.php
fantasypros,Jaydon Blue,RB,DAL,14,194.0,125.0,210.0,28.63,,https://www.fantasypros.com/nfl/players/jaydon-blue.php
fantasypros,Rashid Shaheed,WR,SEA,11,195.0,119.0,210.0,29.97,,https://www.fantasypros.com/nfl/players/rashid-shaheed.php
fantasypros,Aaron Rodgers,QB,PIT,9,195.0,92.0,210.0,31.55,,https://www.fantasypros.com/nfl/players/aaron-rodgers.php
fantasypros,Harrison Mevis,K,LAR,11,195.0,140.0,210.0,22.69,,https://www.fantasypros.com/nfl/players/harrison-mevis.php
fantasypros,Chris Boswell,K,PIT,9,195.0,149.0,210.0,21.81,,https://www.fantasypros.com/nfl/players/chris-boswell.php
fantasypros,Los Angeles Chargers,DST,LAC,7,196.0,146.0,210.0,22.97,,https://www.fantasypros.com/nfl/players/los-angeles-chargers-defense.php
fantasypros,De'Zhaun Stribling,WR,SF,8,196.0,137.0,210.0,26.51,,https://www.fantasypros.com/nfl/players/dezhaun-stribling.php
fantasypros,Andy Borregales,K,NE,11,199.0,149.0,210.0,19.49,,https://www.fantasypros.com/nfl/players/andres-borregales.php
fantasypros,Jayden Higgins,WR,HOU,8,199.0,127.0,210.0,25.25,,https://www.fantasypros.com/nfl/players/jayden-higgins.php
fantasypros,Kaytron Allen,RB,WAS,7,199.0,148.0,210.0,22.64,,https://www.fantasypros.com/nfl/players/kaytron-allen.php
fantasypros,Geno Smith,QB,NYJ,13,201.0,86.0,210.0,25.67,,https://www.fantasypros.com/nfl/players/geno-smith.php
fantasypros,Jauan Jennings,WR,MIN,6,201.0,124.0,210.0,23.02,,https://www.fantasypros.com/nfl/players/jauan-jennings.php
fantasypros,Jalen Coker,WR,CAR,5,201.0,136.0,210.0,22.19,,https://www.fantasypros.com/nfl/players/jalen-coker.php
fantasypros,Juwan Johnson,TE,NO,8,201.0,134.0,210.0,22.57,,https://www.fantasypros.com/nfl/players/juwan-johnson.php
fantasypros,Tua Tagovailoa,QB,ATL,11,202.0,82.0,210.0,27.08,,https://www.fantasypros.com/nfl/players/tua-tagovailoa.php
fantasypros,Denzel Boston,WR,CLE,11,203.0,142.0,210.0,18.99,,https://www.fantasypros.com/nfl/players/denzel-boston.php
fantasypros,Kansas City Chiefs,DST,KC,5,204.0,141.0,210.0,18.06,,https://www.fantasypros.com/nfl/players/kansas-city-defense.php
fantasypros,Detroit Lions,DST,DET,6,205.0,144.0,210.0,15.71,,https://www.fantasypros.com/nfl/players/detroit-defense.php
fantasypros,Cleveland Browns,DST,CLE,11,205.0,159.0,210.0,13.83,,https://www.fantasypros.com/nfl/players/cleveland-defense.php
fantasypros,Greg Dulcich,TE,MIA,6,205.0,138.0,210.0,15.77,,https://www.fantasypros.com/nfl/players/greg-dulcich.php
fantasypros,Harrison Butker,K,KC,5,205.0,159.0,210.0,12.97,,https://www.fantasypros.com/nfl/players/harrison-butker.php
fantasypros,Will Reichard,K,MIN,6,206.0,150.0,210.0,13.38,,https://www.fantasypros.com/nfl/players/will-reichard.php
fantasypros,Hunter Henry,TE,NE,11,206.0,135.0,210.0,16.35,,https://www.fantasypros.com/nfl/players/hunter-henry.php
fantasypros,Las Vegas Raiders,DST,LV,13,206.0,132.0,210.0,16.46,,https://www.fantasypros.com/nfl/players/las-vegas-defense.php
fantasypros,Travis Hunter,WR,JAC,7,206.0,120.0,210.0,17.61,,https://www.fantasypros.com/nfl/players/travis-hunter.php
fantasypros,Kaelon Black,RB,SF,8,206.0,142.0,210.0,14.8,,https://www.fantasypros.com/nfl/players/kaelon-black.php
fantasypros,Shedeur Sanders,QB,CLE,11,206.0,139.0,210.0,15.61,,https://www.fantasypros.com/nfl/players/shedeur-sanders.php
fantasypros,Chase McLaughlin,K,TB,10,206.0,150.0,210.0,13.95,,https://www.fantasypros.com/nfl/players/chase-mclaughlin.php
fantasypros,J.J. McCarthy,QB,MIN,6,206.0,143.0,210.0,14.67,,https://www.fantasypros.com/nfl/players/jj-mccarthy.php
fantasypros,Justice Hill,RB,BAL,13,206.0,135.0,210.0,14.61,,https://www.fantasypros.com/nfl/players/justice-hill.php
fantasypros,George Holani,RB,SEA,11,206.0,145.0,210.0,13.18,,https://www.fantasypros.com/nfl/players/george-holani.php
fantasypros,Jaylen Wright,RB,MIA,6,207.0,160.0,210.0,11.61,,https://www.fantasypros.com/nfl/players/jaylen-wright.php
fantasypros,Nick Folk,K,ATL,11,207.0,149.0,210.0,12.29,,https://www.fantasypros.com/nfl/players/nick-folk.php
fantasypros,Kaleb Johnson,RB,PIT,9,207.0,141.0,210.0,13.46,,https://www.fantasypros.com/nfl/players/kaleb-johnson-rb.php
fantasypros,Tyreek Hill,WR,,,207.0,140.0,210.0,12.81,,https://www.fantasypros.com/nfl/players/tyreek-hill.php
fantasypros,Demond Claiborne,RB,MIN,6,207.0,153.0,210.0,10.57,,https://www.fantasypros.com/nfl/players/demond-claiborne.php
fantasypros,Green Bay Packers,DST,GB,11,208.0,149.0,210.0,10.48,,https://www.fantasypros.com/nfl/players/green-bay-defense.php
fantasypros,Chicago Bears,DST,CHI,10,208.0,148.0,210.0,11.8,,https://www.fantasypros.com/nfl/players/chicago-defense.php
fantasypros,Jordan James,RB,SF,8,208.0,157.0,210.0,10.74,,https://www.fantasypros.com/nfl/players/jordan-james.php
fantasypros,Brenton Strange,TE,JAC,7,208.0,147.0,210.0,11.21,,https://www.fantasypros.com/nfl/players/brenton-strange.php
fantasypros,Caleb Douglas,WR,MIA,6,208.0,159.0,210.0,10.11,,https://www.fantasypros.com/nfl/players/caleb-douglas.php
fantasypros,Wil Lutz,K,DEN,10,208.0,155.0,210.0,9.59,,https://www.fantasypros.com/nfl/players/wil-lutz.php
fantasypros,Dalton Schultz,TE,HOU,8,208.0,159.0,210.0,9.63,,https://www.fantasypros.com/nfl/players/dalton-schultz.php
fantasypros,Kirk Cousins,QB,LV,13,208.0,159.0,210.0,9.54,,https://www.fantasypros.com/nfl/players/kirk-cousins.php
fantasypros,Ollie Gordon II,RB,MIA,6,208.0,155.0,210.0,9.51,,https://www.fantasypros.com/nfl/players/ollie-gordon.php
fantasypros,Atlanta Falcons,DST,ATL,11,208.0,160.0,210.0,8.9,,https://www.fantasypros.com/nfl/players/atlanta-defense.php
fantasypros,Tyler Bass,K,BUF,7,208.0,141.0,210.0,10.42,,https://www.fantasypros.com/nfl/players/tyler-bass.php
fantasypros,Buffalo Bills,DST,BUF,7,208.0,154.0,210.0,8.46,,https://www.fantasypros.com/nfl/players/buffalo-defense.php
fantasypros,Dallas Cowboys,DST,DAL,14,208.0,179.0,210.0,6.23,,https://www.fantasypros.com/nfl/players/dallas-defense.php
fantasypros,Chig Okonkwo,TE,WAS,7,208.0,137.0,210.0,10.76,,https://www.fantasypros.com/nfl/players/chigoziem-okonkwo.php
fantasypros,Jalen Nailor,WR,LV,13,208.0,140.0,210.0,10.32,,https://www.fantasypros.com/nfl/players/jalen-nailor.php
fantasypros,Isaiah Davis,RB,NYJ,13,209.0,141.0,210.0,10.17,,https://www.fantasypros.com/nfl/players/isaiah-davis.php
fantasypros,Trey Benson,RB,ARI,14,209.0,145.0,210.0,9.58,,https://www.fantasypros.com/nfl/players/trey-benson.php
fantasypros,Tre Tucker,WR,LV,13,209.0,156.0,210.0,8.04,,https://www.fantasypros.com/nfl/players/tre-tucker.php
fantasypros,Deshaun Watson,QB,CLE,11,209.0,150.0,210.0,8.85,,https://www.fantasypros.com/nfl/players/deshaun-watson.php
